	Trialnumber	IllusionType	Condition	RT	ACC	literate	number	key	pp	subject
0	23	ambiguous	illusion	4.991633547	1.0	low	1	2	low_1	01
1	24	ambiguous	illusion	4.357222048	1.0	low	1	2	low_1	01
3	21	colour	illusion	12.1241065	1.0	low	1	2	low_1	01
4	7	shape	illusion	6.291837532000001	0.0	low	1	2	low_1	01
5	11	shape	illusion	8.958427073	1.0	low	1	minus	low_1	01
6	9	shape	illusion	7.876005741	1.0	low	1	minus	low_1	01
7	45	colour	control	9.979473076	1.0	low	1	2	low_1	01
8	48	colour	control	8.389616067999999	0.0	low	1	minus	low_1	01
9	44	colour	control	4.27476222	1.0	low	1	2	low_1	01
10	46	colour	control	5.45011654	0.0	low	1	minus	low_1	01
11	20	colour	illusion	4.71196378	0.0	low	1	minus	low_1	01
12	18	colour	illusion	9.16021431	1.0	low	1	2	low_1	01
13	40	shape	control	9.76493254	1.0	low	1	2	low_1	01
14	2	shape	illusion	10.26024543	1.0	low	1	minus	low_1	01
15	12	shape	illusion	8.943540727	0.0	low	1	2	low_1	01
17	34	shape	control	6.2089392629999995	1.0	low	1	2	low_1	01
18	14	shape	illusion	7.642438382999999	1.0	low	1	2	low_1	01
19	13	shape	illusion	5.437388769	0.0	low	1	minus	low_1	01
20	33	shape	control	7.631185186000001	1.0	low	1	minus	low_1	01
21	36	shape	control	5.886499972	1.0	low	1	2	low_1	01
22	4	shape	illusion	10.85788822	1.0	low	1	minus	low_1	01
23	10	shape	illusion	5.584782918999999	1.0	low	1	2	low_1	01
24	16	shape	illusion	4.278899455	1.0	low	1	minus	low_1	01
25	6	shape	illusion	8.3230617	1.0	low	1	minus	low_1	01
26	43	shape	control	4.282451966	1.0	low	1	minus	low_1	01
27	31	shape	control	4.249336665	0.0	low	1	2	low_1	01
28	41	shape	control	2.40247837	1.0	low	1	minus	low_1	01
29	5	shape	illusion	4.6896806589999995	1.0	low	1	2	low_1	01
31	17	colour	illusion	10.0827297	0.0	low	1	2	low_1	01
32	22	colour	illusion	7.657064176	0.0	low	1	minus	low_1	01
33	39	shape	control	6.223605172	0.0	low	1	2	low_1	01
34	37	shape	control	5.865571076	1.0	low	1	minus	low_1	01
35	15	shape	illusion	5.151064173	0.0	low	1	2	low_1	01
36	38	shape	control	14.09574679	1.0	low	1	minus	low_1	01
37	42	shape	control	5.060178732	1.0	low	1	2	low_1	01
38	47	colour	control	6.300670791	0.0	low	1	minus	low_1	01
39	1	shape	illusion	5.026951997	0.0	low	1	2	low_1	01
40	19	colour	illusion	9.156453114	0.0	low	1	minus	low_1	01
42	32	shape	control	5.5371026070000005	1.0	low	1	2	low_1	01
43	8	shape	illusion	11.34381109	0.0	low	1	minus	low_1	01
44	3	shape	illusion	5.72930937	0.0	low	1	2	low_1	01
45	49	colour	control	5.126152834	1.0	low	1	minus	low_1	01
46	35	shape	control	5.707104049	1.0	low	1	minus	low_1	01
47	28	ambiguous	illusion	13.35428344	0.0	low	1	2	low_1	01
48	29	ambiguous	illusion	13.18524438	0.0	low	1	2	low_1	01
0	23	ambiguous	illusion	7.115350296739052	1.0	y	2	2	y_2	02
1	24	ambiguous	illusion	4.868096645544028	1.0	y	2	2	y_2	02
2	20	colour	illusion	7.3043088196800445	0.0	y	2	minus	y_2	02
3	11	shape	illusion	6.73799285361747	0.0	y	2	minus	y_2	02
5	3	shape	illusion	9.209539829047573	0.0	y	2	2	y_2	02
6	43	shape	control	6.952181316156384	0.0	y	2	minus	y_2	02
7	37	shape	control	5.114161799352587	1.0	y	2	minus	y_2	02
8	49	colour	control	4.853145405139003	1.0	y	2	minus	y_2	02
9	31	shape	control	4.626597461243363	1.0	y	2	2	y_2	02
11	48	colour	control	7.39570033819291	1.0	y	2	minus	y_2	02
12	17	colour	illusion	6.3348288490824425	0.0	y	2	2	y_2	02
13	8	shape	illusion	10.360187242029497	0.0	y	2	minus	y_2	02
14	6	shape	illusion	14.912588509219859	0.0	y	2	minus	y_2	02
15	39	shape	control	5.584500827044394	1.0	y	2	2	y_2	02
16	19	colour	illusion	8.03237672733303	0.0	y	2	minus	y_2	02
17	5	shape	illusion	6.087973119617344	0.0	y	2	2	y_2	02
18	34	shape	control	6.113128499543564	1.0	y	2	2	y_2	02
19	14	shape	illusion	10.627206905522145	0.0	y	2	2	y_2	02
20	22	colour	illusion	9.034525990934526	0.0	y	2	minus	y_2	02
21	38	shape	control	6.6253048234430025	0.0	y	2	minus	y_2	02
22	16	shape	illusion	4.712443198901383	0.0	y	2	minus	y_2	02
23	36	shape	control	8.674166127054377	1.0	y	2	2	y_2	02
24	42	shape	control	3.4881324503958235	1.0	y	2	2	y_2	02
25	46	colour	control	5.336275468814165	1.0	y	2	minus	y_2	02
26	33	shape	control	5.388419018875538	1.0	y	2	minus	y_2	02
28	10	shape	illusion	5.969754706781714	0.0	y	2	2	y_2	02
29	2	shape	illusion	18.9290840263202	0.0	y	2	minus	y_2	02
30	41	shape	control	2.950718082584899	1.0	y	2	minus	y_2	02
31	18	colour	illusion	7.7936273361692665	1.0	y	2	2	y_2	02
32	32	shape	control	9.712715098577064	0.0	y	2	2	y_2	02
33	12	shape	illusion	7.6531994609013045	1.0	y	2	2	y_2	02
34	1	shape	illusion	16.9438233389601	1.0	y	2	2	y_2	02
35	35	shape	control	6.956782944636871	0.0	y	2	minus	y_2	02
36	7	shape	illusion	4.856394829124838	0.0	y	2	2	y_2	02
37	9	shape	illusion	11.147409335033442	1.0	y	2	minus	y_2	02
38	44	colour	control	4.279390490885817	1.0	y	2	2	y_2	02
39	13	shape	illusion	13.627460975711074	1.0	y	2	minus	y_2	02
