pp	literate	word	pseudoword
y_1			
n_1	n	0	0
n_2	n	6	5
n_3	n	0	0
n_4	n	16	11
n_5	n	40	13
n_6	n	0	0
n_7	n	0	0
n_8	n	0	0
n_9	n	0	0
n_10	n	0	0
n_11	n	0	0
n_12	n	0	0
y_2	y	38	23
n_13	n	0	0
n_14	n	30	2
n_15	n	0	0
n_16	n	0	0
n_17	n	0	0
n_18	n	23	13
n_19	n	0	0
n_20	n	8	5
n_21	n	28	13
n_22	n	0	0
n_23	n	1	0
n_24	n	0	0
y_3	y	33	23
n_25	n	0	0
n_26	n	0	0
y_4	y	69	59
y_5	y	44	38
y_6	y	34	30
n_27	n	7	2
y_7	y		
y_8	y		
y_9	y	65	43
n_28	n	0	0
n_29	n	0	0
n_30	n	0	0
y_10	y		51
y_11	y	69	58
n_32	n	5	0
y_12	y	69	35
y_13	y	48	10
y_14	y	54	44
y_15	y	63	26
y_16	y	58	37
y_17	y	42	32
y_18	y	77	46
y_19	y	15	13
y_20	y	53	25
n_31	n	0	0
y_21	y	77	53
y_22	y	71	51
y_23	y	73	40
y_24	y	74	48
y_25	y	27	16
y_26	y	74	47
y_27	y	66	47
y_28	y	69	38
y_29	y	61	26
y_30	y	76	33
y_31	y	59	37
y_32	y	63	32
