	Trialnumber	IllusionType	Condition	RT	ACC	literate	number	key	pp	subject
0	23	ambiguous	illusion	4.038252758910858	1.0	y	1	2	y_1	01
1	24	ambiguous	illusion	4.590414138458981	1.0	y	1	2	y_1	01
3	21	colour	illusion	6.762896999864098	0.0	y	1	2	y_1	01
4	7	shape	illusion	8.625223780320994	0.0	y	1	2	y_1	01
5	11	shape	illusion	18.897909978921234	1.0	y	1	minus	y_1	01
6	9	shape	illusion	6.899562448183133	0.0	y	1	minus	y_1	01
7	45	colour	control	4.9048310615598885	1.0	y	1	2	y_1	01
8	48	colour	control	4.796866629764736	1.0	y	1	minus	y_1	01
9	44	colour	control	5.625512293836437	1.0	y	1	2	y_1	01
10	46	colour	control	6.08305461252894	1.0	y	1	minus	y_1	01
11	20	colour	illusion	3.76646370767412	0.0	y	1	minus	y_1	01
12	18	colour	illusion	6.547332830325104	1.0	y	1	2	y_1	01
13	40	shape	control	6.2830139288807905	1.0	y	1	2	y_1	01
14	2	shape	illusion	9.118858653500864	1.0	y	1	minus	y_1	01
15	12	shape	illusion	6.72053778595091	0.0	y	1	2	y_1	01
17	34	shape	control	4.143533852928158	0.0	y	1	2	y_1	01
18	14	shape	illusion	7.690773078446909	1.0	y	1	2	y_1	01
19	13	shape	illusion	7.87296490589688	0.0	y	1	minus	y_1	01
20	33	shape	control	5.329242141450777	1.0	y	1	minus	y_1	01
21	36	shape	control	7.229643791164563	0.0	y	1	2	y_1	01
22	4	shape	illusion	5.313777492866393	0.0	y	1	minus	y_1	01
23	10	shape	illusion	6.002250567503777	0.0	y	1	2	y_1	01
24	16	shape	illusion	5.1787357435023305	1.0	y	1	minus	y_1	01
25	6	shape	illusion	11.529809686435328	1.0	y	1	minus	y_1	01
26	43	shape	control	4.532767760398201	0.0	y	1	minus	y_1	01
27	31	shape	control	5.306670416261113	1.0	y	1	2	y_1	01
28	41	shape	control	3.2391606850087555	1.0	y	1	minus	y_1	01
29	5	shape	illusion	5.196903990645296	0.0	y	1	2	y_1	01
31	17	colour	illusion	5.39389307656711	0.0	y	1	2	y_1	01
32	22	colour	illusion	7.546734326868317	0.0	y	1	minus	y_1	01
33	39	shape	control	5.016972050658295	1.0	y	1	2	y_1	01
34	37	shape	control	4.148805302813344	1.0	y	1	minus	y_1	01
35	15	shape	illusion	4.2427646726537205	0.0	y	1	2	y_1	01
36	38	shape	control	8.677433785742322	0.0	y	1	minus	y_1	01
